,action_taken,denial_reason_1,denial_reason_2,denial_reason_3
1,3,,,
2,3,9.0,,
9,3,7.0,,
17,3,1.0,,
18,3,1.0,,
23,5,,,
24,3,7.0,,
27,3,4.0,,
28,3,1.0,,
32,1,,,
37,3,,,
38,3,4.0,,
40,2,,,
42,1,,,
45,3,1.0,,
46,2,,,
52,2,,,
57,3,1.0,,
60,3,,,
61,3,4.0,,
62,3,7.0,,
64,3,3.0,,
66,3,1.0,,
67,2,,,
68,1,,,
69,1,,,
70,3,,,
72,1,,,
73,1,,,
74,3,5.0,7.0,
75,3,1.0,9.0,
76,3,4.0,,
78,1,,,
79,1,,,
80,1,,,
81,3,1.0,,
83,1,,,
84,3,4.0,,
87,2,,,
89,3,3.0,1.0,
91,3,4.0,3.0,
95,2,,,
101,1,,,
102,3,1.0,,
103,3,,,
104,3,,,
106,1,,,
112,2,,,
114,3,4.0,,
116,3,3.0,,
117,1,,,
120,1,,,
122,3,1.0,,
124,3,9.0,,
125,1,,,
126,1,,,
128,1,,,
131,3,5.0,6.0,
132,3,7.0,,
133,1,,,
135,3,9.0,,
136,3,4.0,,
137,3,1.0,3.0,4.0
139,1,,,
143,3,1.0,3.0,
146,3,,,
149,1,,,
150,3,1.0,5.0,
151,3,1.0,,
152,2,,,
156,5,,,
157,3,,,
159,1,,,
161,1,,,
162,3,1.0,,
163,3,,,
165,3,,,
169,3,1.0,4.0,9.0
171,5,,,
172,3,1.0,3.0,
176,1,,,
178,3,7.0,,
179,2,,,
181,3,1.0,2.0,4.0
183,5,,,
184,3,,,
186,5,,,
187,1,,,
189,3,1.0,,
192,5,,,
193,3,1.0,,
194,3,4.0,,
195,1,,,
198,2,,,
199,3,3.0,,
201,1,,,
202,3,1.0,,
204,3,4.0,7.0,6.0
207,3,,,
211,3,3.0,5.0,
216,3,9.0,,
217,2,,,
218,1,,,
221,1,,,
222,3,1.0,3.0,
224,3,,,
227,1,,,
228,5,,,
229,3,1.0,3.0,
231,1,,,
232,1,,,
234,3,1.0,,
237,3,1.0,4.0,
238,3,1.0,3.0,
239,1,,,
240,3,3.0,,
241,3,1.0,,
243,3,3.0,,9.0
244,3,9.0,,
245,1,,,
246,2,,,
247,1,,,
251,3,3.0,9.0,
252,3,3.0,,
253,3,3.0,,
254,3,,,
256,3,1.0,,
258,1,,,
259,3,3.0,,
261,3,1.0,,
263,5,,,
264,3,5.0,,
265,3,,,
266,1,,,
269,5,,,
272,1,,,
273,2,,,
275,1,,,
276,1,,,
279,3,5.0,3.0,
281,5,,,
282,3,1.0,3.0,
283,1,,,
285,3,1.0,6.0,
286,3,,,
289,3,3.0,,
291,1,,,
294,1,,,
297,3,3.0,,
299,1,,,
302,3,4.0,,
303,1,,,
304,1,,,
308,1,,,
309,3,3.0,,
312,1,,,
313,1,,,
315,3,4.0,6.0,5.0
318,1,,,
320,1,,,
321,3,7.0,,
323,3,3.0,4.0,
326,3,7.0,,
327,1,,,
328,5,,,
331,1,,,
334,1,,,
338,3,,,
340,1,,,
343,1,,,
344,1,,,
345,5,,,
346,1,,,
347,1,,,
350,3,6.0,,
353,1,,,
354,3,7.0,,
356,3,1.0,,
357,1,,,
359,1,,,
361,3,9.0,,
365,3,3.0,,
368,5,,,
369,5,,,
370,3,6.0,7.0,
372,1,,,
374,1,,,
376,1,,,
377,2,,,
378,5,,,
380,1,,,
381,1,,,
382,2,,,
384,3,3.0,9.0,
385,1,,,
391,1,,,
392,5,,,
393,5,,,
395,3,1.0,,
396,1,,,
397,5,,,
398,1,,,
399,2,,,
404,1,,,
405,3,,,
410,5,,,
412,3,,,
413,1,,,
414,3,1.0,3.0,
415,1,,,
421,3,7.0,,
423,3,4.0,,
424,3,4.0,,
427,3,1.0,5.0,6.0
429,1,,,
430,1,,,
435,5,,,
437,3,1.0,,
440,1,,,
441,3,7.0,,
443,3,5.0,9.0,
445,1,,,
446,3,1.0,,
448,2,,,
450,3,1.0,3.0,9.0
455,1,,,
457,2,,,
458,1,,,
465,3,7.0,,
468,3,,,
470,5,,,
471,3,3.0,,
473,2,,,
476,1,,,
477,1,,,
480,1,,,
481,1,,,
482,3,1.0,4.0,9.0
484,3,1.0,,
486,3,4.0,,
488,1,,,
489,1,,,
490,1,,,
492,3,,,
498,3,1.0,,
500,1,,,
501,1,,,
502,1,,,
503,1,,,
504,1,,,
511,1,,,
513,3,1.0,6.0,7.0
514,5,,,
518,3,3.0,,
519,1,,,
520,5,,,
521,1,,,
522,1,,,
523,3,3.0,,
524,1,,,
525,1,,,
530,3,7.0,,
531,5,,,
533,3,,,
537,1,,,
538,1,,,
541,3,1.0,,
544,3,3.0,,
545,1,,,
547,3,,,
548,3,,,
549,3,1.0,,
555,2,,,
557,3,1.0,3.0,
563,1,,,
564,5,,,
567,3,1.0,,
568,1,,,
571,3,4.0,,
573,3,7.0,,
574,3,,,
575,5,,,
576,3,1.0,5.0,
581,3,,,
584,3,3.0,,
585,3,4.0,,
587,3,3.0,,
588,5,,,
592,1,,,
593,1,,,
594,1,,,
595,1,,,
597,1,,,
598,3,3.0,9.0,
599,1,,,
601,3,1.0,,
603,3,4.0,,
605,5,,,
607,3,1.0,,
608,3,,,
611,2,,,
612,5,,,
616,1,,,
617,3,3.0,,
618,3,1.0,,
620,3,1.0,3.0,
622,3,3.0,,
623,1,,,
626,3,4.0,,
627,3,9.0,,
628,3,1.0,,
634,1,,,
635,3,1.0,,
637,3,3.0,,
638,1,,,
641,1,,,
642,3,3.0,,
643,3,9.0,,
644,1,,,
645,3,,,
646,3,,,
647,3,,,
649,3,3.0,,
656,3,7.0,,
657,1,,,
659,1,,,
660,1,,,
661,1,,,
663,3,1.0,,
670,1,,,
671,3,1.0,,
672,3,1.0,,
673,3,4.0,,
677,1,,,
679,5,,,
680,1,,,
681,5,,,
683,5,,,
685,1,,,
689,3,1.0,,
695,3,4.0,5.0,9.0
699,3,4.0,,
703,1,,,
705,3,4.0,,
707,5,,,
711,5,,,
713,1,,,
715,5,,,
717,1,,,
720,1,,,
721,3,3.0,,
722,1,,,
724,1,,,
728,3,7.0,,
731,3,1.0,3.0,
734,1,,,
735,2,,,
738,3,,,
739,2,,,
740,3,3.0,,
742,3,1.0,5.0,
744,1,,,
746,1,,,
747,1,,,
748,3,3.0,,
752,1,,,
756,5,,,
760,1,,,
761,1,,,
762,1,,,
765,3,,,
770,2,,,
772,2,,,
773,3,5.0,,
774,3,1.0,,
775,3,4.0,,
776,1,,,
777,3,3.0,,
780,3,6.0,,
781,3,4.0,,
782,3,,,
783,3,,,
787,2,,,
789,2,,,
790,5,,,
792,1,,,
793,3,4.0,,
794,2,,,
795,1,,,
797,3,,,
799,5,,,
801,3,1.0,,
802,3,3.0,,
805,1,,,
806,2,,,
808,1,,,
810,1,,,
811,5,,,
814,3,1.0,3.0,4.0
815,5,,,
816,1,,,
817,1,,,
818,2,,,
819,1,,,
820,1,,,
821,5,,,
822,1,,,
827,3,3.0,,
829,5,,,
830,1,,,
831,1,,,
832,3,4.0,,
835,1,,,
838,3,,,
841,1,,,
852,1,,,
854,2,,,
860,3,3.0,,
861,1,,,
862,1,,,
868,3,1.0,,
869,3,7.0,,
870,1,,,
872,1,,,
876,5,,,
879,3,7.0,,
881,3,1.0,,
885,1,,,
887,3,9.0,,
888,1,,,
890,1,,,
893,1,,,
894,3,3.0,,
895,3,1.0,5.0,
896,3,5.0,,
899,3,1.0,,
902,3,,,
903,3,3.0,,
904,3,7.0,,
905,1,,,
906,1,,,
907,1,,,
909,1,,,
911,1,,,
914,3,1.0,,
916,1,,,
917,3,,,
918,3,4.0,,
921,1,,,
922,3,1.0,,
925,3,7.0,,
929,3,1.0,3.0,
930,1,,,
931,3,4.0,,
933,5,,,
934,3,6.0,,
935,1,,,
936,1,,,
938,5,,,
939,5,,,
940,3,9.0,,
941,1,,,
942,1,,,
944,1,,,
945,1,,,
946,1,,,
950,3,2.0,1.0,3.0
951,1,,,
952,2,,,
954,5,,,
956,1,,,
958,1,,,
961,1,,,
962,5,,,
964,3,1.0,,
965,3,,,
970,3,3.0,,
971,1,,,
974,1,,,
976,3,4.0,3.0,
980,1,,,
984,1,,,
986,5,,,
989,3,,,
990,3,4.0,7.0,
992,1,,,
994,1,,,
997,3,4.0,,
998,1,,,
1000,5,,,
1003,1,,,
1005,3,1.0,,
1007,3,3.0,,
1009,1,,,
1013,1,,,
1014,3,3.0,,
1017,1,,,
1018,3,1.0,3.0,5.0
1019,3,1.0,,
1023,1,,,
1024,1,,,
1026,2,,,
1027,2,,,
1028,2,,,
1030,3,1.0,9.0,
1033,3,4.0,,
1034,3,,,
1035,1,,,
1037,1,,,
1039,2,,,
1041,2,,,
1043,1,,,
1046,1,,,
1049,1,,,
1051,3,3.0,,
1054,2,,,
1055,1,,,
1056,3,,,
1057,3,1.0,3.0,
1058,1,,,
1059,2,,,
1061,3,7.0,,
1062,1,,,
1064,1,,,
1066,2,,,
1067,1,,,
1071,2,,,
1073,5,,,
1074,1,,,
1077,2,,,
1081,3,5.0,1.0,
1085,1,,,
1088,3,,,
1090,1,,,
1092,1,,,
1093,3,1.0,,
1094,1,,,
1096,3,3.0,,
1097,3,4.0,,
1099,1,,,
1100,1,,,
1103,5,,,
1104,3,3.0,,
1105,3,1.0,,
1107,1,,,
1109,5,,,
1110,1,,,
1111,1,,,
1112,1,,,
1113,5,,,
1114,2,,,
1115,1,,,
1117,5,,,
1119,2,,,
1120,3,3.0,,
1121,3,1.0,,
1124,3,3.0,,
1127,1,,,
1128,1,,,
1130,5,,,
1132,1,,,
1133,3,,,
1136,3,1.0,5.0,
1137,2,,,
1139,1,,,
1141,1,,,
1145,3,7.0,,
1150,1,,,
1151,3,1.0,,
1153,3,1.0,3.0,
1155,1,,,
1156,1,,,
1158,3,,,
1162,3,3.0,,
1163,3,4.0,,
1165,1,,,
1167,3,3.0,,
1168,3,1.0,,
1169,1,,,
1172,1,,,
1175,1,,,
1176,5,,,
1177,2,,,
1178,1,,,
1182,3,8.0,,
1184,3,,,
1186,3,9.0,,
1187,3,3.0,,
1192,3,,,
1193,3,3.0,,
1195,3,1.0,3.0,
1198,3,,,
1200,1,,,
1201,2,,,
1203,3,,,
1204,1,,,
1207,1,,,
1210,3,3.0,,
1211,3,,,
1214,3,7.0,,
1216,3,,,
1220,2,,,
1221,1,,,
1223,3,1.0,,
1227,2,,,
1228,3,4.0,,
1229,1,,,
1230,5,,,
1231,3,,,
1232,3,1.0,3.0,
1233,1,,,
1234,2,,,
1235,3,,,
1236,2,,,
1240,3,,,
1241,3,7.0,,
1242,3,3.0,,
1243,3,,,
1244,1,,,
1246,3,4.0,,
1249,1,,,
1254,1,,,
1255,3,3.0,,
1256,1,,,
1257,3,7.0,,
1259,1,,,
1260,1,,,
1261,2,,,
1265,1,,,
1266,3,3.0,5.0,
1267,3,3.0,,
1271,5,,,
1272,1,,,
1274,1,,,
1275,1,,,
1277,5,,,
1278,5,,,
1279,1,,,
1280,2,,,
1283,3,,,
1284,2,,,
1286,2,,,
1289,2,,,
1290,3,1.0,3.0,
1292,1,,,
1295,2,,,
1301,3,1.0,,
1302,3,3.0,,
1303,1,,,
1307,1,,,
1309,1,,,
1312,2,,,
1313,1,,,
1315,3,,,
1316,3,1.0,9.0,
1319,3,6.0,,
1321,3,1.0,,
1323,3,3.0,,
1325,1,,,
1327,1,,,
1328,1,,,
1329,1,,,
1331,5,,,
1332,1,,,
1333,3,,,
1334,3,3.0,,
1335,1,,,
1339,1,,,
1345,3,8.0,,
1347,3,4.0,,
1348,1,,,
1354,3,1.0,3.0,
1355,1,,,
1358,5,,,
1359,3,3.0,,
1361,1,,,
1363,1,,,
1365,1,,,
1366,1,,,
1367,2,,,
1370,1,,,
1371,1,,,
1373,3,1.0,5.0,7.0
1375,1,,,
1378,3,4.0,,
1379,3,7.0,,
1381,3,1.0,8.0,3.0
1385,3,3.0,,
1386,1,,,
1389,3,7.0,,
1390,1,,,
1393,1,,,
1394,1,,,
1396,1,,,
1397,5,,,
1399,3,,,
1401,3,5.0,,
1403,1,,,
1404,1,,,
1405,3,,,
1407,1,,,
1409,5,,,
1412,3,9.0,4.0,
1413,5,,,
1418,1,,,
1419,1,,,
1420,1,,,
1423,3,,,
1427,1,,,
1428,3,4.0,,
1429,3,,,
1431,3,,,
1439,1,,,
1442,1,,,
1443,5,,,
1444,1,,,
1445,3,,,
1446,3,1.0,,
1448,3,,,
1449,1,,,
1452,3,3.0,,
1454,3,4.0,,
1455,1,,,
1456,1,,,
1457,1,,,
1462,5,,,
1463,3,3.0,,
1465,3,,,
1466,1,,,
1470,1,,,
1471,3,,,
1474,2,,,
1476,1,,,
1479,1,,,
1482,2,,,
1483,3,1.0,,
1487,5,,,
1488,1,,,
1490,3,1.0,,
1491,5,,,
1492,3,,,
1495,1,,,
1496,3,1.0,6.0,5.0
1497,3,1.0,2.0,
1501,3,1.0,5.0,
1503,3,,,
1504,2,,,
1505,1,,,
1506,3,,,
1507,3,1.0,,
1509,1,,,
1516,5,,,
1517,3,,,
1520,1,,,
1521,1,,,
1522,1,,,
1523,3,3.0,,
1524,1,,,
1525,3,1.0,,
1527,1,,,
1528,3,,,
1529,1,,,
1530,1,,,
1531,5,,,
1532,3,5.0,,
1534,1,,,
1536,1,,,
1541,5,,,
1543,1,,,
1548,3,3.0,1.0,
1550,3,1.0,,
1551,1,,,
1552,3,3.0,,
1553,2,,,
1554,1,,,
1555,1,,,
1556,1,,,
1558,2,,,
1559,5,,,
1560,3,3.0,,
1561,1,,,
1562,5,,,
1566,3,7.0,,
1568,2,,,
1572,1,,,
1577,1,,,
1579,3,1.0,9.0,
1582,1,,,
1587,1,,,
1588,5,,,
1590,3,,,
1591,1,,,
1593,1,,,
1598,3,3.0,,
1604,3,1.0,,
1609,1,,,
1612,3,,,
1616,3,7.0,,
1618,3,4.0,,
1619,2,,,
1620,3,,,
1621,1,,,
1625,3,,,
1626,1,,,
1627,3,4.0,,
1628,1,,,
1629,5,,,
1630,5,,,
1631,1,,,
1632,3,,,
1634,3,,,
1636,3,,,
1639,3,3.0,,
1641,2,,,
1643,2,,,
1644,1,,,
1648,3,3.0,4.0,
1649,1,,,
1650,3,,,
1651,1,,,
1653,1,,,
1655,1,,,
1656,2,,,
1658,3,3.0,5.0,
1659,3,,,
1665,3,3.0,,
1666,1,,,
1676,3,3.0,,
1677,1,,,
1678,5,,,
1679,3,3.0,1.0,
1680,3,4.0,,
1681,1,,,
1682,2,,,
1684,1,,,
1685,5,,,
1686,3,4.0,,
1687,3,,,
1688,2,,,
1689,1,,,
1693,3,3.0,,
1695,3,1.0,3.0,
1698,1,,,
1699,3,,,
1700,1,,,
1701,1,,,
1702,1,,,
1703,3,3.0,,
1706,1,,,
1707,3,1.0,5.0,
1710,5,,,
1712,3,1.0,,
1715,1,,,
1719,1,,,
1720,1,,,
1722,3,1.0,,
1723,3,1.0,,
1726,3,,,
1727,3,3.0,,
1728,3,,,
1729,1,,,
1730,5,,,
1731,1,,,
1732,3,,,
1734,1,,,
1735,3,7.0,,
1736,3,1.0,3.0,
1737,1,,,
1738,1,,,
1741,1,,,
1742,1,,,
1743,5,,,
1744,3,1.0,,
1747,5,,,
1749,3,3.0,,
1751,3,1.0,,
1754,3,5.0,,
1755,3,3.0,,
1760,1,,,
1761,1,,,
1762,3,,,
1764,1,,,
1765,3,1.0,9.0,
1766,5,,,
1768,3,4.0,,
1772,3,,,
1775,5,,,
1776,3,4.0,,
1780,3,,,
1781,3,,,
1785,3,,,
1786,3,,,
1789,3,3.0,,
1790,2,,,
1791,1,,,
1792,3,3.0,,
1794,3,1.0,,
1798,3,,,
1799,1,,,
1801,3,4.0,,
1802,1,,,
1803,1,,,
1806,3,,,
1807,1,,,
1808,1,,,
1809,1,,,
1812,5,,,
1815,3,,,
1816,1,,,
1817,3,,,
1819,3,7.0,,
1821,3,3.0,,
1822,1,,,
1826,3,4.0,,
1827,3,1.0,,
1829,3,4.0,,
1831,5,,,
1832,1,,,
1833,1,,,
1835,2,,,
1837,3,4.0,,
1839,3,,,
1840,3,,,
1841,5,,,
1842,3,1.0,,
1844,1,,,
1847,5,,,
1848,3,,,
1852,2,,,
1854,1,,,
1855,3,3.0,,
1856,3,4.0,,
1860,1,,,
1861,3,3.0,,
1864,1,,,
1865,2,,,
1870,3,,,
1873,5,,,
1874,2,,,
1880,5,,,
1882,1,,,
1889,3,,,
1892,1,,,
1894,3,,,
1899,3,3.0,,
1900,3,1.0,3.0,4.0
1901,3,1.0,7.0,
1903,3,,,
1905,3,,,
1907,1,,,
1909,1,,,
1910,3,1.0,9.0,
1912,1,,,
1913,1,,,
1917,3,,,
1918,1,,,
1919,1,,,
1920,3,9.0,,
1923,3,1.0,,
1924,1,,,
1925,5,,,
1927,2,,,
1928,3,,,
1929,1,,,
1932,3,1.0,,
1934,5,,,
1935,1,,,
1936,1,,,
1937,2,,,
1938,3,4.0,,
1941,3,,,
1943,1,,,
1948,5,,,
1950,1,,,
1953,5,,,
1955,3,,,
1957,3,5.0,,
1959,3,1.0,4.0,
1961,3,1.0,2.0,6.0
1966,2,,,
1968,2,,,
1971,5,,,
1976,1,,,
1977,1,,,
1980,3,,,
1982,3,,,
1983,1,,,
1985,3,7.0,,
1986,3,4.0,9.0,
1991,1,,,
1993,5,,,
1994,1,,,
1995,1,,,
1996,3,,,
1997,1,,,
2004,3,1.0,,
2005,3,9.0,,
2007,3,,,
2008,5,,,
2011,3,3.0,,
2012,3,1.0,3.0,
2013,1,,,
2016,3,1.0,,
2019,1,,,
2021,3,,,
2024,1,,,
2025,3,3.0,,
2026,1,,,
2028,1,,,
2030,3,,,
2031,5,,,
2032,5,,,
2033,2,,,
2034,1,,,
2035,3,,,
2038,3,1.0,,
2040,3,1.0,,
2041,3,,,
2045,3,7.0,,
2051,3,,,
2055,1,,,
2056,3,,,
2057,1,,,
2060,3,3.0,,
2061,1,,,
2063,3,3.0,,
2064,5,,,
2066,1,,,
2067,2,,,
2069,1,,,
2072,1,,,
2073,3,,,
2074,1,,,
2075,1,,,
2078,3,3.0,1.0,9.0
2079,5,,,
2081,5,,,
2084,3,3.0,5.0,
2086,5,,,
2087,5,,,
2089,3,6.0,9.0,
2090,1,,,
2092,5,,,
2096,1,,,
2098,2,,,
2099,3,,,
2101,1,,,
2102,2,,,
2103,1,,,
2107,3,,,
2109,1,,,
2110,3,9.0,,
2111,3,3.0,,
2114,3,1.0,,
2115,3,,,
2117,1,,,
2119,5,,,
2120,5,,,
2122,1,,,
2124,1,,,
2125,1,,,
2126,1,,,
2127,3,4.0,,
2128,3,9.0,,
2129,3,1.0,,
2130,1,,,
2131,5,,,
2135,5,,,
2136,1,,,
2137,3,,,
2138,3,,,
2139,3,7.0,,
2140,5,,,
2141,1,,,
2143,3,1.0,,
2147,1,,,
2150,3,,,
2151,1,,,
2152,3,4.0,,
2153,3,4.0,1.0,
2155,3,,,
2156,1,,,
2157,1,,,
2160,1,,,
2163,2,,,
2166,1,,,
2171,1,,,
2172,3,,,
2176,5,,,
2177,1,,,
2178,3,1.0,3.0,
2180,1,,,
2182,3,,,
2186,3,1.0,2.0,
2189,5,,,
2190,1,,,
2191,3,9.0,3.0,
2192,3,,,
2194,1,,,
2196,1,,,
2197,1,,,
2198,1,,,
2199,1,,,
2201,5,,,
2203,5,,,
2205,3,3.0,,
2207,1,,,
2208,2,,,
2211,3,3.0,,
2212,3,1.0,,
2214,3,1.0,5.0,
2216,1,,,
2217,3,3.0,,
2218,1,,,
2219,1,,,
2221,1,,,
2223,2,,,
2224,3,1.0,,
2228,3,7.0,,
2230,3,,,
2231,1,,,
2232,1,,,
2233,3,1.0,,
2235,1,,,
2236,3,,,
2237,3,4.0,,
2238,1,,,
2239,1,,,
2240,3,,,
2244,1,,,
2245,3,3.0,,
2246,1,,,
2249,1,,,
2254,3,,,
2255,3,,,
2257,3,9.0,,
2259,1,,,
2260,1,,,
2261,1,,,
2265,3,3.0,,
2266,5,,,
2268,1,,,
2270,3,7.0,,
2272,1,,,
2273,1,,,
2275,3,1.0,,
2278,1,,,
2279,3,9.0,3.0,1.0
2280,1,,,
2282,1,,,
2285,1,,,
2286,1,,,
2289,5,,,
2292,3,1.0,,
2293,1,,,
2294,5,,,
2296,1,,,
2297,1,,,
2300,5,,,
2301,1,,,
2307,3,1.0,3.0,4.0
2308,1,,,
2309,3,3.0,,
2311,3,3.0,1.0,
2312,3,,,
2315,1,,,
2316,1,,,
2317,3,,,
2318,3,9.0,,
2322,3,4.0,,
2323,2,,,
2324,3,7.0,,
2325,1,,,
2326,5,,,
2328,3,4.0,5.0,9.0
2331,5,,,
2332,1,,,
2333,3,4.0,,
2335,5,,,
2336,1,,,
2337,1,,,
2338,3,4.0,,
2341,3,9.0,3.0,
2342,3,3.0,,
2343,5,,,
2344,1,,,
2345,1,,,
2348,2,,,
2350,3,3.0,,
2351,3,,,
2353,5,,,
2356,3,,,
2358,1,,,
2359,3,,,
2360,2,,,
2362,1,,,
2363,1,,,
2364,1,,,
2365,3,,,
2366,1,,,
2367,1,,,
2374,1,,,
2375,5,,,
2378,5,,,
2379,3,,,
2381,1,,,
2382,5,,,
2383,3,1.0,6.0,
2385,3,1.0,5.0,
2386,1,,,
2387,5,,,
2388,5,,,
2389,1,,,
2390,2,,,
2395,2,,,
2396,3,1.0,3.0,
2397,1,,,
2400,3,,,
2402,1,,,
2403,3,4.0,9.0,
2407,1,,,
2408,1,,,
2409,1,,,
2411,1,,,
2412,3,3.0,,
2416,3,,,
2418,1,,,
2420,3,,,
2422,1,,,
2424,3,1.0,,
2427,2,,,
2429,2,,,
2431,3,1.0,,
2432,3,,,
2434,1,,,
2436,1,,,
2437,3,7.0,,
2438,1,,,
2439,3,7.0,,
2440,3,7.0,,
2441,1,,,
2442,3,3.0,,
2443,1,,,
2444,1,,,
2445,1,,,
2446,5,,,
2448,3,3.0,,
2449,1,,,
2450,1,,,
2451,3,3.0,,
2452,3,,,
2453,3,1.0,,
2454,1,,,
2455,2,,,
2456,1,,,
2457,1,,,
2459,3,7.0,,
2460,2,,,
2461,1,,,
2467,2,,,
2468,3,1.0,,
2471,3,9.0,,
2472,3,3.0,,
2474,3,1.0,,
2475,1,,,
2479,5,,,
2481,3,,,
2484,3,,,
2486,5,,,
2487,1,,,
2488,1,,,
2490,3,4.0,,
2491,1,,,
2494,2,,,
2495,3,,,
2496,3,3.0,,
2498,1,,,
2499,5,,,
2500,1,,,
2501,2,,,
2505,1,,,
2508,1,,,
2510,1,,,
2515,2,,,
2516,5,,,
2517,1,,,
2519,1,,,
2520,1,,,
2522,3,,,
2523,3,3.0,,
2524,1,,,
2528,1,,,
2531,1,,,
2532,3,,,
2534,3,1.0,,
2535,1,,,
2537,1,,,
2538,1,,,
2542,2,,,
2545,1,,,
2547,1,,,
2548,3,1.0,,
2550,5,,,
2552,1,,,
2554,2,,,
2556,3,,,
2560,1,,,
2562,1,,,
2564,1,,,
2565,5,,,
2566,1,,,
2571,3,,,
2572,2,,,
2573,3,,,
2576,3,3.0,,
2577,3,9.0,1.0,5.0
2581,1,,,
2582,1,,,
2586,3,1.0,,
2588,3,3.0,4.0,9.0
2589,1,,,
2590,3,9.0,7.0,
2593,1,,,
2598,5,,,
2600,5,,,
2602,1,,,
2604,3,3.0,2.0,
2605,1,,,
2608,3,9.0,,
2610,2,,,
2611,5,,,
2612,3,1.0,,
2613,3,1.0,,
2614,3,1.0,3.0,
2616,3,1.0,,
2619,3,3.0,,
2620,3,4.0,,
2621,3,7.0,,
2623,3,5.0,,
2626,2,,,
2627,1,,,
2628,3,9.0,,
2631,3,,,
2632,2,,,
2633,5,,,
2635,1,,,
2640,3,3.0,,
2641,1,,,
2642,1,,,
2644,1,,,
2645,2,,,
2646,5,,,
2648,1,,,
2656,1,,,
2662,3,3.0,,
2663,1,,,
2666,3,1.0,,
2667,1,,,
2674,3,1.0,,
2675,3,4.0,1.0,9.0
2678,1,,,
2679,1,,,
2680,1,,,
2681,2,,,
2684,1,,,
2686,3,,,
2687,1,,,
2688,2,,,
2691,1,,,
2692,3,3.0,,
2693,1,,,
2694,3,1.0,,
2695,1,,,
2696,1,,,
2699,1,,,
2700,3,,,
2701,3,1.0,,
2704,3,7.0,9.0,
2705,1,,,
2707,1,,,
2709,1,,,
2710,3,4.0,,
2711,1,,,
2713,1,,,
2714,3,5.0,3.0,
2716,2,,,
2718,3,6.0,1.0,
2720,3,9.0,,
2721,2,,,
2722,3,5.0,,
2724,1,,,
2725,2,,,
2726,3,,,
2729,1,,,
2730,2,,,
2731,1,,,
2732,1,,,
2733,1,,,
2734,3,,,
2735,3,7.0,,
2741,1,,,
2743,3,4.0,,
2748,5,,,
2749,1,,,
2751,3,3.0,,
2754,5,,,
2755,3,7.0,,
2757,3,1.0,,
2761,1,,,
2764,3,,,
2765,2,,,
2766,5,,,
2767,2,,,
2769,1,,,
2772,3,5.0,,
2775,1,,,
2780,2,,,
2781,3,,,
2785,3,1.0,,
2788,2,,,
2789,3,4.0,,
2790,1,,,
2797,1,,,
2801,3,,,
2803,3,7.0,,
2806,1,,,
2807,3,7.0,,
2808,3,,,
2809,2,,,
2810,5,,,
2812,1,,,
2813,3,,,
2814,1,,,
2817,1,,,
2819,1,,,
2822,2,,,
2823,1,,,
2824,3,1.0,,
2828,3,1.0,,
2835,1,,,
2836,1,,,
2839,1,,,
2840,1,,,
2841,1,,,
2843,1,,,
2845,3,9.0,,
2846,1,,,
2852,5,,,
2853,1,,,
2857,3,5.0,9.0,
2861,3,,,
2862,1,,,
2863,1,,,
2865,5,,,
2866,3,1.0,,
2867,1,,,
2868,3,3.0,,
2872,3,1.0,9.0,
2874,1,,,
2875,5,,,
2876,3,3.0,,
2878,3,1.0,9.0,
2883,2,,,
2884,3,3.0,1.0,
2887,2,,,
2892,3,1.0,7.0,
2898,2,,,
2899,1,,,
2900,3,1.0,,
2902,3,,,
2905,3,7.0,,
2908,1,,,
2910,1,,,
2911,2,,,
2913,1,,,
2919,3,1.0,,
2921,2,,,
2923,3,4.0,,
2924,1,,,
2926,3,3.0,,
2927,3,7.0,,
2928,2,,,
2929,1,,,
2933,1,,,
2934,3,3.0,,
2935,1,,,
2936,3,,,
2937,3,2.0,7.0,
2938,3,,,
2939,1,,,
2940,3,3.0,,
2942,1,,,
2943,3,1.0,,
2944,5,,,
2945,3,3.0,,
2947,5,,,
2948,2,,,
2949,1,,,
2950,5,,,
2954,2,,,
2957,3,4.0,,
2959,1,,,
2960,1,,,
2961,2,,,
2962,3,1.0,5.0,9.0
2964,3,1.0,,
2965,3,3.0,,
2966,1,,,
2968,1,,,
2969,2,,,
2972,1,,,
2973,1,,,
